pop	pop
world	pop
rock	Rock Classique
classic	rock Rock Classique
country	Rock Classique
folk	Rock Classique
60s	Rock Classique
punk	Punko-cool
punk-rock	Punko-cool
pop rock	Rock Modernecool
metal	Metal
hardcore	Metal
industrial metal	Metal
french	Pop Fr
france	Pop Fr
chanson française	Pop Fr
electro	Electro
hip-hop	HipHop
hip hop	HipHop
hiphop	HipHop
rap	HipHop
electronic	Electro
instrumental	Electro
jazz	Jazz
Melodic Death Metal	metal
indie Rock	Moderne
alternative	Rock Moderne
dance	DanceDisco
disco	DanceDisco
reggae	Reggae
indus	Indus
variété	Variété
funk	Funk-soul-Ska
ska	Funk-soul-Ska
soul	Funk-soul-Ska
classique	Classique
heavy metal	Metal
post-black metal	Metal
death metal	Metal