artist	nbr	tag1	tag2	artist:1
Spiral Tribe	4	techno	tekno	Spiral Tribe
Spice Girls	4	pop	90s	Spice Girls
Spagna	4	80s	Disco	Spagna
Soul Ii Soul	4	soul	80s	Soul Ii Soul
Soldat Louis	4	french	celtic	Soldat Louis
Snfu	4	punk	punk rock	Snfu
Simian Mobile Disco	4	electronic	electro	Simian Mobile Disco
Shinedown	4	rock	hard rock	Shinedown
Sheryfa Luna	4	french	rnb	Sheryfa Luna
Scatman John	4	dance	90s	Scatman John
Santana	4	rock	classic rock	Santana
Rihanna	4	pop	rnb	Rihanna
Rick Astley	4	pop	80s	Rick Astley
Revolver	4	shoegaze	rock	Revolver
Powerwolf	4	Power metal	heavy metal	Powerwolf
Philippe Collin	4	france inter		Philippe Collin
Patrick Hernandez	4	Disco	70s	Patrick Hernandez
Osker	4	punk	punk rock	Osker
No Doubt	4	rock	pop	No Doubt
Nick Cave  The Bad Seeds	4	post-punk	rock	Nick Cave  The Bad Seeds
New Bomb Turks	4	punk	punk rock	New Bomb Turks
Mungo Jerry	4	classic rock	rock	Mungo Jerry
Moussier Tombola	4	french	dance	Moussier Tombola
Mirwais	4	electronic	trip-hop	Mirwais
Millencolin	4	punk rock	seen live	Millencolin
Mika	4	pop	british	Mika
Michel Sardou	4	chanson francaise	french	Michel Sardou
Michael Bublé	4	jazz	swing	Michael Bublé
Matt Bianco	4	jazz	Smooth Jazz	Matt Bianco
Mani	4	hip	hop	Mani
Lou Bega	4	pop	mambo	Lou Bega
Lorna	4	Reggaeton	dream pop	Lorna
Lorie	4	french	pop	Lorie
Les Jumo	4	french	Hip-Hop	Les Jumo
Le Grand Orchestre Du Splendid	4	french pop	french	Le Grand Orchestre Du Splendid
Larusso	4	french	female vocalists	Larusso
Laroche Valmont	4	french	80s	Laroche Valmont
La Bouche	4	eurodance	dance	La Bouche
L5	4	french	pop	L5
Kevin Lyttle	4	dancehall	reggae	Kevin Lyttle
Kaoma	4	latin	dance	Kaoma
Joe Dassin	4	french	chanson	Joe Dassin
Jet	4	rock	alternative	Jet
Jean-Jacques Goldman	4	french	chanson francaise	Jean-Jacques Goldman
Imany	4	soul	jazz	Imany
Hubert-Félix Thiéfaine	4	chanson francaise	french	Hubert-Félix Thiéfaine
Hot Water Music	4	punk	punk rock	Hot Water Music
Haddaway	4	dance	eurodance	Haddaway
Guttermouth	4	punk	punk rock	Guttermouth
George Benson	4	jazz	Smooth Jazz	George Benson
Extra	4	electronic	swedish	Extra
Elvis Crespo	4	merengue	latin	Elvis Crespo
Eisbrecher	4	industrial metal	industrial	Eisbrecher
Edward Maya	4	electronic	dance	Edward Maya
Edalam	4	reggae	dancehall	Edalam
Deep Purple	4	hard rock	classic rock	Deep Purple
Danny Elfman	4	Soundtrack	instrumental	Danny Elfman
Colonel Reyel	4	french	pop	Colonel Reyel
Cauet	4	french	humour	Cauet
Cartoon	4	Progressive rock	Avant-Prog	Cartoon
Carrapicho	4	brazil	folk	Carrapicho
Bob Sinclar	4	House	dance	Bob Sinclar
Billy Ze Kick Et Les Gamins En Folie	4	french	rock	Billy Ze Kick Et Les Gamins En Folie
Bellini	4	dance	math rock	Bellini
Aqua	4	pop	dance	Aqua
Alvaro Soler	4	pop	latin	Alvaro Soler
Alesha Dixon	4	pop	rnb	Alesha Dixon
A-Ha	4	80s	pop	A-Ha
19	4	j-pop	japanese	19
Zeke	3	punk	hardcore punk	Zeke
Zaz	3	jazz	french	Zaz
Zara Larsson	3	pop	swedish	Zara Larsson
Yolanda Be Cool Vs Dcup	3	electronic	dance	Yolanda Be Cool Vs Dcup
Yodelice	3	folk	french	Yodelice
Ycare	3	french	Chanson Française	Ycare
Yannick	3	french	hip hop	Yannick
Wisin	3	Reggaeton	black metal	Wisin
Who Made Who	3	seen live	electronic	Who Made Who
Whigfield	3	dance	eurodance	Whigfield
Vivien Savage	3	chanson	french	Vivien Savage
Vitaa	3	french	rnb	Vitaa
Varios	3	electronic	indie	Varios
Vanessa Da Mata	3	mpb	female vocalists	Vanessa Da Mata
Valerie Lagrange	3	french	chanson	Valerie Lagrange
Ub40  Chrissie Hynde	3	reggae	80s	Ub40  Chrissie Hynde
Tryo	3	reggae	french	Tryo
Tragedie	3	french	Hip-Hop	Tragedie
Toto	3	rock	classic rock	Toto
Tina Charles	3	Disco	70s	Tina Charles
Tim Tim	3	reggae	electronic	Tim Tim
Thelma Houston	3	Disco	soul	Thelma Houston
The Weather Girls	3	Disco	pop	The Weather Girls
The Specials	3	ska	two-tone	The Specials
The Rubettes	3	70s	pop	The Rubettes
The Ritchie Family	3	Disco	70s	The Ritchie Family
The Pussycat Dolls	3	pop	rnb	The Pussycat Dolls
The Prodigy	3	electronic	techno	The Prodigy
The Prince Karma	3	USA	House	The Prince Karma
The Michael Zager Band	3	Disco	70s	The Michael Zager Band
The Halo Effect	3	Melodic Death Metal	Swedish Metal	The Halo Effect
The Corrs	3	pop	irish	The Corrs
The Chemical Brothers	3	electronic	dance	The Chemical Brothers
The Brothers Johnson	3	funk	soul	The Brothers Johnson
The Blues Brothers	3	blues	rhythm and blues	The Blues Brothers
The Black Keys	3	blues rock	blues	The Black Keys
The Alan Parsons Project	3	Progressive rock	classic rock	The Alan Parsons Project
Terra Samba	3	samba	Axe	Terra Samba
Ten Foot Pole	3	punk rock	punk	Ten Foot Pole
Technotronic	3	dance	eurodance	Technotronic
Taylor Swift	3	country	pop	Taylor Swift
Taxi Girl	3	new wave	french	Taxi Girl
Talk Talk	3	new wave	post-rock	Talk Talk
Taio Cruz	3	rnb	pop	Taio Cruz
Tacabro	3	pop	electronic	Tacabro
Sylvester	3	Disco	funk	Sylvester
Survivor	3	rock	classic rock	Survivor
Strollad	3	ska	celtic ska	Strollad
String Color	3	french	pop	String Color
Straight Faced	3	hardcore	punk	Straight Faced
Sting	3	rock	pop	Sting
Special D	3	dance	trance	Special D
Sparks	3	new wave	glam rock	Sparks
Spankers	3	club	House	Spankers
Souf	3	france		Souf
Soprano	3	french	rap	Soprano
Sonia Lacen	3	female vocalists	french	Sonia Lacen
Singuila	3	french	rap	Singuila
Silver Pozzoli	3	Italo Disco	80s	Silver Pozzoli
Silver Convention	3	Disco	70s	Silver Convention
Shivaree	3	female vocalists	indie	Shivaree
Shift K3Y	3	House	british	Shift K3Y
Sheila	3	french	ye-ye	Sheila
Shawn Mendes	3	pop	Canadian	Shawn Mendes
Shaun Baker	3	dance	trance	Shaun Baker
Shakira  Wyclef Jean	3	NL	Hips dont lie	Shakira  Wyclef Jean
Serge Beynaud	3	africa	under 2000 listeners	Serge Beynaud
Serdar Ortaç	3	turkish	Turkish Pop	Serdar Ortaç
Sentidos Opuestos	3	Sentidos Opuestos	pop	Sentidos Opuestos
Selena	3	latin	pop	Selena
Selah Sue	3	soul	female vocalists	Selah Sue
Sebastian Yatra	3	Colombia	seen live	Sebastian Yatra
Scooter	3	techno	dance	Scooter
Santa Esmeralda	3	Disco	latin	Santa Esmeralda
Sandra	3	80s	pop	Sandra
Samantha Fox	3	80s	pop	Samantha Fox
Sam Smith	3	soul	pop	Sam Smith
Salomé De Bahia	3	latin	House	Salomé De Bahia
Sacha Distel	3	chanson francaise	french	Sacha Distel
Sabrina	3	80s	female vocalists	Sabrina
Rupee	3	soca	dancehall	Rupee
Roger Hodgson	3	Progressive rock	classic rock	Roger Hodgson
Robin Gibb	3	pop	80s	Robin Gibb
Robert Farel	3	french	pop	Robert Farel
Robbie Nevil	3	80s	pop	Robbie Nevil
Rixton	3	pop	british	Rixton
Rita Mitsouko	3	french	rock	Rita Mitsouko
Rika Zarai	3	60s	female	Rika Zarai
Righeira	3	80s	Italo Disco	Righeira
Ridsa	3	french	french hip-hop	Ridsa
Rick James	3	funk	soul	Rick James
René La Taupe	3	emo	sexy	René La Taupe
Renaud	3	chanson francaise	french	Renaud
Refused	3	hardcore	punk	Refused
R I O	3	House	electronic	R I O
Punk Covers	3	punk	punk rock	Punk Covers
Psy	3	k-pop	Korean	Psy
Pony Pony Run Run	3	french	electronica	Pony Pony Run Run
Polo & Pan	3	electronic	french	Polo & Pan
Play & Win	3	dance	House	Play & Win
Pin-Occhio	3	techno	eurodance	Pin-Occhio
Philippe Lavil	3	french	60s	Philippe Lavil
Peter Tosh	3	reggae	roots reggae	Peter Tosh
Pet Shop Boys	3	synthpop	80s	Pet Shop Boys
Perle Lama	3	zouk	female vocalists	Perle Lama
Paul Mccartney  Michael Jackson	3	pop	80s	Paul Mccartney  Michael Jackson
Patrick Zabé	3	canada	Canadian	Patrick Zabé
Patricia Kaas	3	french	female vocalists	Patricia Kaas
P-Square	3	nigeria	naija	P-Square
P Nk	3	pop	female vocalists	P Nk
Outkast	3	Hip-Hop	rap	Outkast
Orchestral Manoeuvres In The Dark	3	new wave	80s	Orchestral Manoeuvres In The Dark
Opus	3	80s	rock	Opus
Ophélie Winter	3	french	pop	Ophélie Winter
Omi	3	reggae	electronic	Omi
Olivier Dion	3	pop	french	Olivier Dion
Offspring	3	punk rock	punk	Offspring
Oasis	3	britpop	rock	Oasis
No One Is Innocent	3	rock	french	No One Is Innocent
Nina Simone	3	jazz	soul	Nina Simone
Nik Kershaw	3	80s	pop	Nik Kershaw
Nicole Scherzinger	3	pop	rnb	Nicole Scherzinger
Nayer	3	dance	pop	Nayer
Navii	3	french	pop	Navii
Najoua Belyzel	3	french	pop	Najoua Belyzel
Mr  Probz	3	Hip-Hop	dutch	Mr  Probz
Mr  President	3	eurodance	dance	Mr  President
Motivés	3	chanson francaise	alternative	Motivés
Misterwives	3	indie	pop	Misterwives
Minou	3	pop	under 2000 listeners	Minou
Miike Snow	3	electronic	electropop	Miike Snow
Michel Polnareff	3	french	chanson francaise	Michel Polnareff
Michel Jonasz	3	chanson francaise	french	Michel Jonasz
Michel Fugain & Le Big Bazar	3	chanson francaise	french	Michel Fugain & Le Big Bazar
Michael Murphy	3	country	singer-songwriter	Michael Murphy
Mhd	3	french	afro trap	Mhd
Medhy Custos	3	zouk	caribbean	Medhy Custos
Mc Miker & Dj Sven	3	Hip-Hop	dutch	Mc Miker & Dj Sven
Mc Hammer	3	Hip-Hop	rap	Mc Hammer
Maxx	3	eurodance	90s	Maxx
Marvin	3	seen live	noise	Marvin
Martine St-Clair	3	female vocalists	canada	Martine St-Clair
Martin Circus	3	french	rock	Martin Circus
Marina Kaye	3	pop	french	Marina Kaye
Marie Dauphin	3	french	female vocals	Marie Dauphin
Maria Rita	3	mpb	female vocalists	Maria Rita
Marcus Collins	3	pop	british	Marcus Collins
Marcos Valle	3	Bossa Nova	brazilian	Marcos Valle
Marc Kiss	3	trance	electronic	Marc Kiss
Manu Dibango	3	afrobeat	african	Manu Dibango
Maluma	3	mierda	Brutal Death Metal	Maluma
Makassy	3	french	world	Makassy
M People	3	pop	dance	M People
M 	3	french	pop	M 
Léa Castel	3	french	female vocalists	Léa Castel
Lucenzo  Don Omar	3	Reggaeton	latin	Lucenzo  Don Omar
Loveless	3	japanese	anime	Loveless
Louane	3	pop	french	Louane
Los Lobos	3	latin	rock	Los Lobos
Los Del Sol	3	pop	dance	Los Del Sol
Locko	3	hip hop	pop	Locko
Lkm	3	world	latin	Lkm
Limahl	3	80s	pop	Limahl
Level 42	3	80s	pop	Level 42
Les Vagabonds	3	seen live	french 60s	Les Vagabonds
Les Musclés	3	culte	french	Les Musclés
Les Innocents	3	french	chanson francaise	Les Innocents
Les Coco Girls	3	french	girl group	Les Coco Girls
Les Charlots	3	french	humour	Les Charlots
Leo Sayer	3	pop	70s	Leo Sayer
Led Zeppelin	3	classic rock	rock	Led Zeppelin
Lazer	3	metal	electronic	Lazer
Laurent Voulzy	3	chanson francaise	french	Laurent Voulzy
Laurent Gerra	3	humour	sarkozy	Laurent Gerra
Laura Branigan	3	80s	pop	Laura Branigan
La Femme	3	new wave	french	La Femme
La Bionda	3	Disco	80s	La Bionda
La Bande À Basile	3	french	pop	La Bande À Basile
Kymai	3	dancehall	reggae	Kymai
Koxie	3	french	pop	Koxie
Kobojsarna	3	swedish	dance	Kobojsarna
Klingande	3	House	electronic	Klingande
Kiss	3	hard rock	classic rock	Kiss
Kim Wilde	3	80s	pop	Kim Wilde
Khaled	3	arabic	rai	Khaled
Kesha	3	pop	dance	Kesha
Keedz	3	electro	french	Keedz
Keblack	3	french	africa	Keblack
Kc And The Sunshine Band	3	Disco	funk	Kc And The Sunshine Band
Kc & The Sunshine Band	3	Disco	funk	Kc & The Sunshine Band
Katy Perry	3	pop	female vocalists	Katy Perry
Karen Young	3	Disco	funk	Karen Young
Karen Cheryl	3	french	Wilson Seixas	Karen Cheryl
Justin Bieber	3	pop	black metal	Justin Bieber
Julien Doré	3	french	rock	Julien Doré
Julian Perretta	3	pop	british	Julian Perretta
Jul	3	Hip-Hop	fragile	Jul
Jive Bunny And The Mastermixers	3	jive	pop	Jive Bunny And The Mastermixers
Jimmy Cliff	3	reggae	ska	Jimmy Cliff
Jessy Matador	3	dance	french	Jessy Matador
Jennifer Lopez  Pitbull	3	pop	latin	Jennifer Lopez  Pitbull
Jena Lee	3	french	rnb	Jena Lee
Jeff Mills	3	techno	detroit techno	Jeff Mills
Jean-Patrick Capdevielle	3	french	opera	Jean-Patrick Capdevielle
Jean-Pascal	3	female vocalists	Gay Metal	Jean-Pascal
Jean-Luc Lahaye	3	french	francais	Jean-Luc Lahaye
Jean Schultheis	3	Chanson Française	french	Jean Schultheis
Jakie Quartz	3	french	pop	Jakie Quartz
Jain	3	pop	french	Jain
Jackie Quartz	3	french	pop	Jackie Quartz
J Balvin	3	mierda	Brutal Death Metal	J Balvin
Iyanya	3	nigeria	nigerian	Iyanya
Ivete Sangalo	3	Axe	mpb	Ivete Sangalo
Inna Modja	3	pop	female vocalists	Inna Modja
Ilona Mitrecey	3	french	pop	Ilona Mitrecey
Ill Nino	3	Nu Metal	metal	Ill Nino
Ice Mc	3	eurodance	dance	Ice Mc
I Against I	3	punk	punk rock	I Against I
Hues Corporation	3	Disco	soul	Hues Corporation
Hiro	3	screamo	j-pop	Hiro
Heideroosjes	3	seen live	punk	Heideroosjes
Havana Delirio	3	dance	cubano	Havana Delirio
Halestorm	3	hard rock	female vocalists	Halestorm
H2O	3	hardcore	melodic hardcore	H2O
H Magnum	3	world	latin	H Magnum
Gérard Blanc	3	80s	chanson francaise	Gérard Blanc
Guillaume Grand	3	french	singer-songwriter	Guillaume Grand
Grupo Extra	3	latin pop	bachata	Grupo Extra
Grand Jojo	3	belgique	chanson francaise	Grand Jojo
Godsmack	3	hard rock	metal	Godsmack
Global Deejays	3	dance	House	Global Deejays
Ghost	3	heavy metal	Psychedelic Rock	Ghost
Geronimo	3	experimental	noise	Geronimo
George Mccrae	3	Disco	soul	George Mccrae
Gas Huffer	3	punk	Garage Punk	Gas Huffer
Garou	3	french	male vocalists	Garou
Fumiya Tanaka	3	techno	minimal	Fumiya Tanaka
Fréro Delavega	3	pop	french	Fréro Delavega
Frog Leap Studios	3	seen live		Frog Leap Studios
Franko	3	pop	alternative rock	Franko
Francesco Napoli	3	Disco	Italo Disco	Francesco Napoli
Fly Project	3	dance	Romanian	Fly Project
Fleetwood Mac	3	classic rock	rock	Fleetwood Mac
Feid	3	Reggaeton	Colombia	Feid
Fatal Bazooka	3	french	Hip-Hop	Fatal Bazooka
Fat Larry S Band	3	funk	soul	Fat Larry S Band
Farruko	3	Reggaeton	Puerto Rican	Farruko
Farandula Boys	3	world	latin	Farandula Boys
Fabyan & Juanmi	3	world	latin	Fabyan & Juanmi
Fababy	3	Hip-Hop	rap	Fababy
Evelyn Thomas	3	Disco	80s	Evelyn Thomas
Europe	3	hard rock	rock	Europe
Eloquence & Kayliah	3	spotify		Eloquence & Kayliah
Elli Medeiros	3	french	female vocalists	Elli Medeiros
Elephanz	3	french	pop	Elephanz
Electric Light Orchestra	3	classic rock	Progressive rock	Electric Light Orchestra
Eiffel 65	3	dance	electronic	Eiffel 65
Eddy Grant	3	reggae	80s	Eddy Grant
Eagles	3	classic rock	rock	Eagles
Début De Soirée	3	french	pop	Début De Soirée
Dwarves	3	punk	punk rock	Dwarves
Down By Law	3	punk	punk rock	Down By Law
Dnce	3	pop	pop rock	Dnce
Djany	3	france	Hip-Hop	Djany
Dj Bobo	3	dance	eurodance	Dj Bobo
Division Of Laura Lee	3	seen live	swedish	Division Of Laura Lee
Divan	3	electronic	Reggaeton	Divan
Dire Straits	3	classic rock	rock	Dire Straits
Desireless	3	80s	new wave	Desireless
David Tavare	3	dance	House	David Tavare
David Martial	3	zouk	Martinique	David Martial
Dave	3	rap	Grime	Dave
Daddy Dj	3	dance	electronic	Daddy Dj
Culture Beat	3	eurodance	dance	Culture Beat
Cris Cab	3	reggae	pop	Cris Cab
Creedence Clearwater Revival	3	classic rock	rock	Creedence Clearwater Revival
Color Me Badd	3	90s	rnb	Color Me Badd
Coeur De Pirate	3	french	indie	Coeur De Pirate
Clubstone	3	electronic	electronica	Clubstone
Claude Nougaro	3	chanson francaise	jazz	Claude Nougaro
Cidinho & Doca	3	baile funk	Hip-Hop	Cidinho & Doca
Christine And The Queens	3	french	pop	Christine And The Queens
Chocolat S	3	funk	Disco	Chocolat S
Children Of Bodom	3	Melodic Death Metal	metal	Children Of Bodom
Chawki	3	morocco	moroccan	Chawki
Charly Black	3	dancehall	jamaica	Charly Black
Chagrin D Amour	3	french	pop	Chagrin D Amour
Captain Sensible	3	new wave	80s	Captain Sensible
Captain Hollywood Project	3	eurodance	dance	Captain Hollywood Project
Candy	3	hardcore	metalcore	Candy
Calogero  Passi	3	french	chanson francaise	Calogero  Passi
C2C	3	turntablism	Hip-Hop	C2C
Bénabar	3	french	chanson francaise	Bénabar
Brigitte Bardot	3	french	60s	Brigitte Bardot
Brick & Lace	3	rnb	dancehall	Brick & Lace
Boys Town Gang	3	Disco	80s	Boys Town Gang
Boule Noire	3	Disco	funk	Boule Noire
Boostee	3	french pop	french	Boostee
Bon Jovi	3	rock	hard rock	Bon Jovi
Bob Dylan	3	folk	singer-songwriter	Bob Dylan
Bill Haley & His Comets	3	rockabilly	Rock and Roll	Bill Haley & His Comets
Big Soul	3	rock	funk	Big Soul
Best Of Hits	3	dance	pop	Best Of Hits
Bernard Minet	3	french	hard rock	Bernard Minet
Bernard Menez	3	french	chanson francaise	Bernard Menez
Benny Benassi	3	electronic	House	Benny Benassi
Benjamin Braxton	3	dance	electronic	Benjamin Braxton
Ben L Oncle Soul	3	soul	french	Ben L Oncle Soul
Beatsteaks	3	seen live	rock	Beatsteaks
Basshunter	3	dance	electronic	Basshunter
Barry Manilow	3	pop	easy listening	Barry Manilow
Baltimora	3	80s	new wave	Baltimora
Babylon Zoo	3	rock	electronic	Babylon Zoo
Axel Red	3	french	female vocalists	Axel Red
Axel Bauer	3	french	rock	Axel Bauer
Argerich	3	Classical	piano	Argerich
Anti-Flag	3	punk	punk rock	Anti-Flag
Anna	3	minimal	minimal techno	Anna
Animals	3	rock	blues rock	Animals
Angerfist	3	hardcore	Gabber	Angerfist
Amy Winehouse	3	soul	jazz	Amy Winehouse
Amine	3	rnb	french	Amine
Amii Stewart	3	Disco	70s	Amii Stewart
Alpha Blondy	3	reggae	roots reggae	Alpha Blondy
Alonzo	3	Hip-Hop	french hip-hop	Alonzo
All	3	punk	punk rock	All
Alain Bashung	3	french	chanson francaise	Alain Bashung
Al Wilson	3	soul	northern soul	Al Wilson
African Connection	3	french	african	African Connection
98 Mute	3	punk	punk rock	98 Mute
2 Unlimited	3	eurodance	dance	2 Unlimited
Zongamin	2	electronic	japanese	Zongamin
Yellowman	2	reggae	dancehall	Yellowman
Xmh	2	dark electro	ebm	Xmh
Wincent Weiss	2	pop	seen live	Wincent Weiss
Wayne Kramer	2	rock	punk	Wayne Kramer
Voyage	2	Disco	70s	Voyage
Vivaldi	2	Classical	baroque	Vivaldi
Various Artist	2	electronic	indie	Various Artist
Vanessa Paradis & Sean Lennon	2	pop		Vanessa Paradis & Sean Lennon
Van Halen	2	hard rock	classic rock	Van Halen
Umek	2	techno	minimal	Umek
Télépopmusik	2	electronic	chillout	Télépopmusik
Trois Cafés Gourmands	2	french	france	Trois Cafés Gourmands
Trivium	2	metalcore	thrash metal	Trivium
Tove Lo	2	pop	swedish	Tove Lo
Tom Waits	2	blues	singer-songwriter	Tom Waits
Tom Mcrae	2	singer-songwriter	seen live	Tom Mcrae
Toby Love	2	bachata	latin	Toby Love
Tim Deluxe	2	House	dance	Tim Deluxe
Tiger Army	2	psychobilly	punk	Tiger Army
Tiesto	2	trance	electronic	Tiesto
The Who	2	classic rock	rock	The Who
The Trashmen	2	surf rock	Garage Rock	The Trashmen
The Stooges	2	punk	proto-punk	The Stooges
The Rivera Project	2	favorites	House	The Rivera Project
The Power	2	experimental		The Power
The Kinks	2	classic rock	60s	The Kinks
The Kid Laroi	2	rap	emo rap	The Kid Laroi
The Jacksons	2	soul	pop	The Jacksons
The Doobie Brothers	2	classic rock	rock	The Doobie Brothers
The Casualties	2	punk	street punk	The Casualties
The Avener	2	electronic	House	The Avener
The Animals	2	classic rock	60s	The Animals
Tasmin Archer	2	pop	female vocalists	Tasmin Archer
Tanto Metro & Devonte	2	dancehall	reggae	Tanto Metro & Devonte
Talina	2	zouk	french	Talina
Tal	2	pop	french	Tal
Sylvie Vartan	2	french	ye-ye	Sylvie Vartan
Stéphanie	2	pop	80s	Stéphanie
Stereoact	2	pop	german	Stereoact
Steppenwolf	2	classic rock	rock	Steppenwolf
Starsailor	2	indie	britpop	Starsailor
Square One	2	soca	Hip-Hop	Square One
Sonia & Selena	2	latin	pop	Sonia & Selena
Skunk Anansie	2	rock	alternative rock	Skunk Anansie
Skillet	2	christian rock	alternative rock	Skillet
Skarface	2	ska	french	Skarface
Skameleon	2	ska	covers	Skameleon
Ska-P	2	ska	ska punk	Ska-P
Sister Nancy	2	reggae	dancehall	Sister Nancy
Signal Aout 42	2	ebm	Old school EBM	Signal Aout 42
Sigala	2	dance	House	Sigala
Shola Ama	2	soul	rnb	Shola Ama
Sheryl Crow	2	female vocalists	rock	Sheryl Crow
Shakira Shakira	2	pop	latin	Shakira Shakira
Series Tv	2	tv	caja tonta	Series Tv
Seo Fernandez	2	salsa	world	Seo Fernandez
Sanseverino	2	french	chanson francaise	Sanseverino
Sam & Dave	2	soul	rhythm and blues	Sam & Dave
Salif Keita	2	african	mali	Salif Keita
Saint Germain Lounge	2	electronica		Saint Germain Lounge
S Express	2	dance	House	S Express
Run-Dmc	2	Hip-Hop	rap	Run-Dmc
Rockwell	2	Drum and bass	80s	Rockwell
Roberto Ciotti	2	blues	italian	Roberto Ciotti
Robbie Williams	2	pop	britpop	Robbie Williams
Rise Against	2	punk rock	punk	Rise Against
Regglyss	2	french	french reggae	Regglyss
Real Joy	2	french	female	Real Joy
Randy	2	seen live	punk rock	Randy
Raised Fist	2	hardcore	seen live	Raised Fist
Raffaella Carrà	2	italian	pop	Raffaella Carrà
Raf	2	italian	pop	Raf
Rae Sremmurd	2	Hip-Hop	rap	Rae Sremmurd
Rachid Taha	2	arabic	rai	Rachid Taha
Quicksand	2	post-hardcore	alternative rock	Quicksand
Punk Ska Covers	2	ska	punk	Punk Ska Covers
Pro7	2	electro	House	Pro7
Prince Royce	2	bachata	mierda	Prince Royce
Prince Ringard	2	punk	chanson	Prince Ringard
Pow Wow	2	french	vocal	Pow Wow
Plan B	2	Hip-Hop	british	Plan B
Pixies 	2	alternative	indie	Pixies 
Peter & Sloane	2	chanson francaise	80s	Peter & Sloane
Paul Simon	2	singer-songwriter	folk	Paul Simon
Patrick Sébastien	2	france	Variete francaise	Patrick Sébastien
Patrick Saint Eloi	2	zouk	zouklove	Patrick Saint Eloi
Patrick Coutin	2	french	chanson	Patrick Coutin
Papi Sanchez	2	latin	merengue	Papi Sanchez
Papa Ap	2	Reggaeton	Hip-Hop	Papa Ap
Page And Plant	2	classic rock	rock	Page And Plant
Omega	2	Progressive rock	classic rock	Omega
Ofenbach & Nick Waterhouse	2	dance-pop	deep house	Ofenbach & Nick Waterhouse
Nomads	2	post-rock	hardcore	Nomads
No Resolve	2	modern rock	alternative rock	No Resolve
Njie	2	njie	Martinique	Njie
Niels Van Gogh	2	trance	dance	Niels Van Gogh
Nick Jonas	2	pop	pop rock	Nick Jonas
Nick Cave & Tom Waits & The Bad Seeds	2	blues	singer-songwriter	Nick Cave & Tom Waits & The Bad Seeds
News	2	j-pop	Johnnys entertainment	News
New Model Army	2	post-punk	seen live	New Model Army
Ne-Yo	2	rnb	soul	Ne-Yo
Nada Surf	2	indie	seen live	Nada Surf
Motion City Soundtrack	2	seen live	pop punk	Motion City Soundtrack
Michael Chacon	2	pop	cuba	Michael Chacon
Mgmt	2	electronic	indie	Mgmt
Mc Miker G & Dj Sven	2	Hip-Hop	dutch	Mc Miker G & Dj Sven
Matchbook Romance	2	emo	rock	Matchbook Romance
Mastodon	2	Progressive metal	metal	Mastodon
Master Kg	2	House	dance	Master Kg
Mark Snow	2	Soundtrack	instrumental	Mark Snow
Marcel Et Son Orchestre	2	ska	french	Marcel Et Son Orchestre
Maneskin	2	italian	indie	Maneskin
Madball	2	hardcore	nyhc	Madball
Lynyrd Skynyrd	2	classic rock	Southern Rock	Lynyrd Skynyrd
Lucenzo	2	dance	rnb	Lucenzo
Louis Amstrong	2	jazz	blues	Louis Amstrong
Lou Reed	2	rock	classic rock	Lou Reed
Los Machucambos	2	latin	musica latina	Los Machucambos
Lorenz	2	zouk	rock	Lorenz
Lord Kossity	2	dancehall	french	Lord Kossity
